Product ID,Brand,Category,Product Name,Product Number,Description,Dealer,MSRP,MAP,Primary Distributor,Secondary Distributor,Tertiary Distributor,Spec Sheet URL,Image URL
PROD10011,AVARRO,Equipment Racks,"Avarro 12U Rack 24"" Depth - Glass Door",RK-ERW12U,"Avarro 12U Rack 24"" Depth - Glass Door, Hinged Wall Mounted, Pre-Assembled",299.99,299.99,,ADI,,,https://www.adiglobaldistribution.us/Product/RK-ERW12U,https://cdn.adiglobaldistribution.us/pim/500X500/10008/RK-ERW12U.jpg
PROD10012,AVARRO,Equipment Racks,"Avarro 6U Rack 24"" Depth - Glass Door",RK-ERW6U,"Avarro 6U Rack 24"" Depth - Glass Door, Hinged Wall Mounted, Pre-Assembled",219.99,219.99,,ADI,,,https://www.adiglobaldistribution.pr/product/rk-erw6u,https://cdn.adiglobaldistribution.us/pim/500X500/10008/RK-ERW6U.jpg
PROD10013,AVARRO,Equipment Racks,"Avarro 42U Rack 24"" Depth - Glass Door",RK-ER42U,"Avarro 42U Rack 24"" Depth - Glass Door, 2 Fans, Casters, Shelves, Pre-Assembled",899.99,899.99,,ADI,,,https://www.adiglobaldistribution.pr/product/rk-er42u,https://cdn.adiglobaldistribution.us/pim/500X500/10008/RK-ER42U.jpg
PROD10014,AVARRO,Equipment Racks,"Avarro 27U Rack 24"" Depth - Glass Door",RK-ER27U,"Avarro 27U Rack 24"" Depth - Glass Door, 2 Fans, Casters, Shelves, Pre-Assembled",579.99,579.99,,ADI,,,https://www.adiglobaldistribution.us/Product/RK-ER27U,https://cdn.adiglobaldistribution.us/pim/500X500/10008/RK-ER27U.jpg
PROD10015,Ace Backstage Co.,Floor Boxes,174SLBK,174SLBK,"Compact, reliable and versatile solution for various connectivity applications.",659,1242.89,,Fulks Media Solutions,FDW,,https://www.acebackstage.com/product/stage-pocket-for-allen-heath-and-digico/,https://www.acebackstage.com/wp-content/uploads/2020/02/174SLBK_Main-scaled-1-1.jpg
PROD10016,Alarm Controls,Access Control,TS2FR,TS2FR,"Alarm Controls TS-2FR TS-2 Request-to-Exit Station, 2"" Green Square Push Button, Single Gang, 430 Stainless Steel",46.46,46.46,,ADI,,,https://www.adiglobaldistribution.us/product/ac-ts2fr,https://cdn.adiglobaldistribution.us/pim/500X500/10058/AC-TS2FR_lg.jpg
PROD10017,Allen & Heath,Sound Consoles & Stage Boxes,Allen & Heath DX HUB Remote DX Expander Hub with 4 Ports,AH-DX-HUB,4 DX Link port hub,803.32,1199,1199,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/537642-allen-heath-dx-hub-remote-dx-expander-hub-with-4-ports,https://www.fdwcorp.com/common/products/lgr/359558.jpg?mmr=230
PROD10018,Allen & Heath,Sound Consoles & Stage Boxes,Allen & Heath DT168 16x8 Dante Audio Expander,AH-DT168,"16in x 8out Dante audio expander with dLive 96kHz mic preamps, 48kHz / 96kHz",1950.59,3199,2799,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/564995-allen-heath-dt168-16x8-dante-audio-expander,https://www.fdwcorp.com/common/products/lgr/344088.jpg?mmr=230
PROD10019,Allen & Heath,Sound Consoles & Stage Boxes,Allen & Heath DT164-W 16x4 Dante Audio Expander Wall Box,AH-DT164-W,"16in x 4out Dante audio expander wall box, 100-230V AC / IEC or screw terminal blocks / 12V DC power options, 48kHz / 96kHz",2551.01,4199,3499,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/564992-allen-heath-dt164-w-16x4-dante-audio-expander-wall-box,https://www.fdwcorp.com/common/products/lgr/344080.jpg?mmr=230
PROD10020,Allen & Heath,Sound Consoles & Stage Boxes,Allen & Heath AR84 Expander AudioRack Remote Stagebox for GLD and QU Mixers,AH-AR2-84-BLK,"8in x 4out Remote AudioRack, dSNAKE I/O for expansion, 1 RU, 48kHz",824.81,1499,1199,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/502027-allen-heath-ar84-expander-audiorack-remote-stagebox-for-gld-and-qu-mixers,https://www.fdwcorp.com/common/products/lgr/386775.jpg?mmr=230
PROD10021,Allen & Heath,Sound Consoles & Stage Boxes,Allen & Heath AR2412 Main AudioRack Remote Stagebox for GLD and QU Mixers,AH-AR2-2412-BLK,"24in x 12out Remote AudioRack, dSNAKE I/O for expansion, 3 RU, 48kHz",1350.18,2199,1899,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/540224-allen-heath-ar2412-main-audiorack-remote-stagebox-for-gld-and-qu-mixers,https://www.fdwcorp.com/common/products/lgr/313016.jpg?mmr=230
PROD10022,Allen & Heath,Sound Consoles & Stage Boxes,"Allen & Heath AB168 Portable Remote 16 Input x 8 Output, 48 kHz AudioRack Stage Bo",AH-AB-168,"16in x 8out portable AudioRack, dSNAKE I/O for expansion, 48kHz",1087.5,1799,1499,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/263614-allen-heath-ab168-portable-remote-16-input-x-8-output-48-khz-audiorack-stage-box,https://www.fdwcorp.com/common/products/lgr/200597.jpg?mmr=230
PROD10023,Allen & Heath,Sound Consoles & Stage Boxes,Allen & Heath DX164-W 16 XLR Input x 4 XLR Output Wall Mount DX Expander,AH-DX164-W,"Wall box I/O Expander 16 Mic/Line in, 4 Line out (DX ports), Connects to DX ports, DX Link card, or DX Hub, Cascade or redundant mode, 96kHz",1877.65,2999,2599,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/537550-allen-heath-dx164-w-16-xlr-input-x-4-xlr-output-wall-mount-dx-expander,https://www.fdwcorp.com/common/products/lgr/359550.jpg?mmr=230
PROD10024,Allen & Heath,Sound Consoles & Stage Boxes,Allen & Heath DX168 16 Input x 8 Output Portable Connectivity Expander with Ethercon,AH-DX168,"16in x 8out Stage Box with dLive 96kHz mic preamps, 96kHz",1486.31,2399,1999,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/535352-allen-heath-dx168-16-input-x-8-output-portable-connectivity-expander-with-ethercon,https://www.fdwcorp.com/common/products/lgr/294185.jpg?mmr=230
PROD10025,Allen & Heath,Sound Consoles & Stage Boxes,Allen & Heath GR4 1U Rack Mount 4 Zone Audio Mixer,AH-GR4,"4 mic + 4 stereo, 4 zone rack mount mixer with ducking, priority paging, phoenix connectors",524.61,869,899,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/544126-allen-heath-gr4-1u-rack-mount-4-zone-audio-mixer,https://www.fdwcorp.com/common/products/lgr/359668.jpg?mmr=230
PROD10026,Allen & Heath,Sound Consoles & Stage Boxes,Allen & Heath SQ SLink SLink Audio Interface Module for SQ Mixers,AH-M-SQ-SLINK-A,"128x128 channels of digital audio at 96kHz or 48kHz, supporting dSnake, DX, GigaAce and ME systems",225.15,399.99,299,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/554211-allen-heath-sq-slink-slink-audio-interface-module-for-sq-mixers,https://www.fdwcorp.com/common/products/lgr/335295.jpg?mmr=230
PROD10027,Allen & Heath,Sound Consoles & Stage Boxes,Allen & Heath SQ-BRACKET Detachable Tablet Bracket for SQ Series Mixers,AH-SQ-BRACKET,Detachable metal bracket for iPad/tablet for SQ,72.36,109.99,99,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/540228-allen-heath-sq-bracket-detachable-tablet-bracket-for-sq-series-mixers,https://www.fdwcorp.com/common/products/lgr/493612.jpg?mmr=230
PROD10028,Allen & Heath,Sound Consoles & Stage Boxes,Allen & Heath SQ-7 48-Channel Digital Mixer with 33 Faders,AH-SQ-7,"96kHz XCVI FPGA processing, 48 Input Channels, DEEP Processing, 33 Faders / 6 Layers, 32 onboard preamp,12 Stereo mixes+LR, 3 Stereo Matrix",4630.98,7299,5999,Fulks Media Solutions,FDW,,https://www.fdwcorp.com/prod/550470-allen-heath-sq-7-48-channel-digital-mixer-with-33-faders,https://www.fdwcorp.com/common/products/lgr/323588.jpg?mmr=230
